"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 23","216.70","240.90","248.79","203.80","12.75M","-10.05%"
"Jul 23","240.90","240.40","261.60","231.49","16.19M","0.21%"
"Jun 23","240.40","306.70","308.40","221.40","21.03M","-21.62%"
"May 23","306.70","337.58","339.49","301.30","9.17M","-9.15%"
"Apr 23","337.58","317.10","350.00","299.91","13.00M","6.46%"
"Mar 23","317.10","301.40","345.99","265.31","14.48M","5.21%"
"Feb 23","301.39","312.11","337.59","283.00","11.41M","-3.43%"
"Jan 23","312.11","246.10","323.00","241.20","10.60M","26.82%"
"Dec 22","246.10","300.40","301.80","220.50","11.12M","-18.08%"
"Nov 22","300.40","325.60","393.42","250.60","21.35M","-7.79%"
"Oct 22","325.79","284.89","337.10","257.05","8.96M","14.36%"
"Sep 22","284.89","279.20","299.80","256.71","11.45M","2.07%"
"Aug 22","279.11","283.50","336.60","272.40","16.63M","-1.55%"
